"","Items","quantity","price","total","y"
"1","DriedBoquet1",1,49.5,49.5,2019-01-01
"2","DriedBoquet2",3,41,123,2019-01-01
"3","EucalyptSmudge",5,15.6,78,2019-01-01
"4","SageSmudge",1,16.3,16.3,2019-01-01
"5","RosePotpourri",1,12,12,2019-01-01
"6","CDiskBamboo",4,29,116,2019-01-01
"7","CDiskCoconut",3,26.9,80.7,2019-01-01
"8","SmudgeBundle",4,53.3,213.2,2019-01-01
"9","LoofahPack",5,12.1,60.5,2019-01-01
"10","Package1",1,52.7,52.7,2019-01-01
"11","BeeswaxCandle",1,27.2,27.2,2019-01-01
"12","PackTeaCandles",2,8,16,2019-01-01
"13","DreamPouch",2,18.8,37.6,2019-01-01
"14","ParisPMirror",3,6.6,19.8,2019-01-01
"15","MilanPMirror",1,5.7,5.7,2019-01-01
"16","LoofahPack",1,29.4,29.4,2019-01-01
"17","Package2",2,34.8,69.6,2019-01-01
"18","Package3",4,34.9,139.6,2019-01-01
"19","Package4",3,24.9,74.7,2019-01-01
"20","Package5",4,24.8,99.2,2019-01-01
"21","DriedBoquet1",1,49.5,49.5,2019-01-02
"22","DriedBoquet2",3,41,123,2019-01-02
"23","EucalyptSmudge",5,15.6,78,2019-01-02
"24","SageSmudge",1,16.3,16.3,2019-01-02
"25","RosePotpourri",1,12,12,2019-01-02
"26","CDiskBamboo",4,29,116,2019-01-02
"27","CDiskCoconut",3,26.9,80.7,2019-01-02
"28","SmudgeBundle",4,53.3,213.2,2019-01-02
"29","LoofahPack",5,12.1,60.5,2019-01-02
"30","Package1",1,52.7,52.7,2019-01-02
"31","BeeswaxCandle",1,27.2,27.2,2019-01-02
"32","PackTeaCandles",2,8,16,2019-01-02
"33","DreamPouch",2,18.8,37.6,2019-01-02
"34","ParisPMirror",3,6.6,19.8,2019-01-02
"35","MilanPMirror",1,5.7,5.7,2019-01-02
"36","LoofahPack",1,29.4,29.4,2019-01-02
"37","Package2",2,34.8,69.6,2019-01-02
"38","Package3",4,34.9,139.6,2019-01-02
"39","Package4",3,24.9,74.7,2019-01-02
"40","Package5",4,24.8,99.2,2019-01-02
"41","DriedBoquet1",1,49.5,49.5,2019-01-03
"42","DriedBoquet2",3,41,123,2019-01-03
"43","EucalyptSmudge",5,15.6,78,2019-01-03
"44","SageSmudge",1,16.3,16.3,2019-01-03
"45","RosePotpourri",1,12,12,2019-01-03
"46","CDiskBamboo",4,29,116,2019-01-03
"47","CDiskCoconut",3,26.9,80.7,2019-01-03
"48","SmudgeBundle",4,53.3,213.2,2019-01-03
"49","LoofahPack",5,12.1,60.5,2019-01-03
"50","Package1",1,52.7,52.7,2019-01-03
"51","BeeswaxCandle",1,27.2,27.2,2019-01-03
"52","PackTeaCandles",2,8,16,2019-01-03
"53","DreamPouch",2,18.8,37.6,2019-01-03
"54","ParisPMirror",3,6.6,19.8,2019-01-03
"55","MilanPMirror",1,5.7,5.7,2019-01-03
"56","LoofahPack",1,29.4,29.4,2019-01-03
"57","Package2",2,34.8,69.6,2019-01-03
"58","Package3",4,34.9,139.6,2019-01-03
"59","Package4",3,24.9,74.7,2019-01-03
"60","Package5",4,24.8,99.2,2019-01-03
"61","DriedBoquet1",1,49.5,49.5,2019-01-04
"62","DriedBoquet2",3,41,123,2019-01-04
"63","EucalyptSmudge",5,15.6,78,2019-01-04
"64","SageSmudge",1,16.3,16.3,2019-01-04
"65","RosePotpourri",1,12,12,2019-01-04
"66","CDiskBamboo",4,29,116,2019-01-04
"67","CDiskCoconut",3,26.9,80.7,2019-01-04
"68","SmudgeBundle",4,53.3,213.2,2019-01-04
"69","LoofahPack",5,12.1,60.5,2019-01-04
"70","Package1",1,52.7,52.7,2019-01-04
"71","BeeswaxCandle",1,27.2,27.2,2019-01-04
"72","PackTeaCandles",2,8,16,2019-01-04
"73","DreamPouch",2,18.8,37.6,2019-01-04
"74","ParisPMirror",3,6.6,19.8,2019-01-04
"75","MilanPMirror",1,5.7,5.7,2019-01-04
"76","LoofahPack",1,29.4,29.4,2019-01-04
"77","Package2",2,34.8,69.6,2019-01-04
"78","Package3",4,34.9,139.6,2019-01-04
"79","Package4",3,24.9,74.7,2019-01-04
"80","Package5",4,24.8,99.2,2019-01-04
"81","DriedBoquet1",1,49.5,49.5,2019-01-05
"82","DriedBoquet2",3,41,123,2019-01-05
"83","EucalyptSmudge",5,15.6,78,2019-01-05
"84","SageSmudge",1,16.3,16.3,2019-01-05
"85","RosePotpourri",1,12,12,2019-01-05
"86","CDiskBamboo",4,29,116,2019-01-05
"87","CDiskCoconut",3,26.9,80.7,2019-01-05
"88","SmudgeBundle",4,53.3,213.2,2019-01-05
"89","LoofahPack",5,12.1,60.5,2019-01-05
"90","Package1",1,52.7,52.7,2019-01-05
"91","BeeswaxCandle",1,27.2,27.2,2019-01-05
"92","PackTeaCandles",2,8,16,2019-01-05
"93","DreamPouch",2,18.8,37.6,2019-01-05
"94","ParisPMirror",3,6.6,19.8,2019-01-05
"95","MilanPMirror",1,5.7,5.7,2019-01-05
"96","LoofahPack",1,29.4,29.4,2019-01-05
"97","Package2",2,34.8,69.6,2019-01-05
"98","Package3",4,34.9,139.6,2019-01-05
"99","Package4",3,24.9,74.7,2019-01-05
"100","Package5",4,24.8,99.2,2019-01-05
"101","DriedBoquet1",1,49.5,49.5,2019-01-06
"102","DriedBoquet2",3,41,123,2019-01-06
"103","EucalyptSmudge",5,15.6,78,2019-01-06
"104","SageSmudge",1,16.3,16.3,2019-01-06
"105","RosePotpourri",1,12,12,2019-01-06
"106","CDiskBamboo",4,29,116,2019-01-06
"107","CDiskCoconut",3,26.9,80.7,2019-01-06
"108","SmudgeBundle",4,53.3,213.2,2019-01-06
"109","LoofahPack",5,12.1,60.5,2019-01-06
"110","Package1",1,52.7,52.7,2019-01-06
"111","BeeswaxCandle",1,27.2,27.2,2019-01-06
"112","PackTeaCandles",2,8,16,2019-01-06
"113","DreamPouch",2,18.8,37.6,2019-01-06
"114","ParisPMirror",3,6.6,19.8,2019-01-06
"115","MilanPMirror",1,5.7,5.7,2019-01-06
"116","LoofahPack",1,29.4,29.4,2019-01-06
"117","Package2",2,34.8,69.6,2019-01-06
"118","Package3",4,34.9,139.6,2019-01-06
"119","Package4",3,24.9,74.7,2019-01-06
"120","Package5",4,24.8,99.2,2019-01-06
"121","DriedBoquet1",1,49.5,49.5,2019-01-07
"122","DriedBoquet2",3,41,123,2019-01-07
"123","EucalyptSmudge",5,15.6,78,2019-01-07
"124","SageSmudge",1,16.3,16.3,2019-01-07
"125","RosePotpourri",1,12,12,2019-01-07
"126","CDiskBamboo",4,29,116,2019-01-07
"127","CDiskCoconut",3,26.9,80.7,2019-01-07
"128","SmudgeBundle",4,53.3,213.2,2019-01-07
"129","LoofahPack",5,12.1,60.5,2019-01-07
"130","Package1",1,52.7,52.7,2019-01-07
"131","BeeswaxCandle",1,27.2,27.2,2019-01-07
"132","PackTeaCandles",2,8,16,2019-01-07
"133","DreamPouch",2,18.8,37.6,2019-01-07
"134","ParisPMirror",3,6.6,19.8,2019-01-07
"135","MilanPMirror",1,5.7,5.7,2019-01-07
"136","LoofahPack",1,29.4,29.4,2019-01-07
"137","Package2",2,34.8,69.6,2019-01-07
"138","Package3",4,34.9,139.6,2019-01-07
"139","Package4",3,24.9,74.7,2019-01-07
"140","Package5",4,24.8,99.2,2019-01-07
"141","DriedBoquet1",1,49.5,49.5,2019-01-08
"142","DriedBoquet2",3,41,123,2019-01-08
"143","EucalyptSmudge",5,15.6,78,2019-01-08
"144","SageSmudge",1,16.3,16.3,2019-01-08
"145","RosePotpourri",1,12,12,2019-01-08
"146","CDiskBamboo",4,29,116,2019-01-08
"147","CDiskCoconut",3,26.9,80.7,2019-01-08
"148","SmudgeBundle",4,53.3,213.2,2019-01-08
"149","LoofahPack",5,12.1,60.5,2019-01-08
"150","Package1",1,52.7,52.7,2019-01-08
"151","BeeswaxCandle",1,27.2,27.2,2019-01-08
"152","PackTeaCandles",2,8,16,2019-01-08
"153","DreamPouch",2,18.8,37.6,2019-01-08
"154","ParisPMirror",3,6.6,19.8,2019-01-08
"155","MilanPMirror",1,5.7,5.7,2019-01-08
"156","LoofahPack",1,29.4,29.4,2019-01-08
"157","Package2",2,34.8,69.6,2019-01-08
"158","Package3",4,34.9,139.6,2019-01-08
"159","Package4",3,24.9,74.7,2019-01-08
"160","Package5",4,24.8,99.2,2019-01-08
"161","DriedBoquet1",1,49.5,49.5,2019-01-09
"162","DriedBoquet2",3,41,123,2019-01-09
"163","EucalyptSmudge",5,15.6,78,2019-01-09
"164","SageSmudge",1,16.3,16.3,2019-01-09
"165","RosePotpourri",1,12,12,2019-01-09
"166","CDiskBamboo",4,29,116,2019-01-09
"167","CDiskCoconut",3,26.9,80.7,2019-01-09
"168","SmudgeBundle",4,53.3,213.2,2019-01-09
"169","LoofahPack",5,12.1,60.5,2019-01-09
"170","Package1",1,52.7,52.7,2019-01-09
"171","BeeswaxCandle",1,27.2,27.2,2019-01-09
"172","PackTeaCandles",2,8,16,2019-01-09
"173","DreamPouch",2,18.8,37.6,2019-01-09
"174","ParisPMirror",3,6.6,19.8,2019-01-09
